Date,WY,P,Q,ET
10/1/91 0:00,1991,2.2,4.19,2.09
10/2/91 0:00,1991,5.42,3.43,1.35
10/3/91 0:00,1991,17.97,9.71,1.82
10/4/91 0:00,1991,3.23,4.96,1.69
10/5/91 0:00,1991,11,6.85,1.5
10/6/91 0:00,1991,0.39,4.5,1.62
10/7/91 0:00,1991,26.38,7.8,0.45
10/8/91 0:00,1991,9.58,11.51,1.88
10/9/91 0:00,1991,14.36,10.21,0.14
10/10/91 0:00,1991,0.13,10.09,0.15
10/11/91 0:00,1991,3.23,6.81,0.79
10/12/91 0:00,1991,1.42,5.37,1.26
10/13/91 0:00,1991,0,4.11,1.71
10/14/91 0:00,1991,1.04,3.49,0.68
10/15/91 0:00,1991,0,3.07,1.18
10/16/91 0:00,1991,30.62,8.68,0.83
10/17/91 0:00,1991,30.63,10.02,1.19
10/18/91 0:00,1991,4.15,10.75,0.51
10/19/91 0:00,1991,1.04,6.59,0.7
10/20/91 0:00,1991,3.62,4.79,0.39
10/21/91 0:00,1991,0.52,3.98,0.68
10/22/91 0:00,1991,0.52,3.39,0.8
10/23/91 0:00,1991,0,3.19,0.35
10/24/91 0:00,1991,0,3.08,0.26
10/25/91 0:00,1991,0.52,2.82,0.12
10/26/91 0:00,1991,0,2.59,0.11
10/27/91 0:00,1991,0,2.45,0.39
10/28/91 0:00,1991,0.13,2.26,0.55
10/29/91 0:00,1991,7.63,2.22,0.51
10/30/91 0:00,1991,3.36,2.32,0.77
10/31/91 0:00,1991,25.36,5.69,0.31
11/1/91 0:00,1991,29.94,11.71,0.62
11/2/91 0:00,1991,25.08,13.75,0.47
11/3/91 0:00,1991,12.52,17.8,0.29
11/4/91 0:00,1991,23.4,12.9,0.16
11/5/91 0:00,1991,0.52,11.21,0.56
11/6/91 0:00,1991,24.56,9.8,0.34
11/7/91 0:00,1991,43.52,33.9,0.16
11/8/91 0:00,1991,18.63,19.41,0.27
11/9/91 0:00,1991,11.08,11.42,0.21
11/10/91 0:00,1991,47.29,21.44,0.12
11/11/91 0:00,1991,0.52,21.55,0.26
11/12/91 0:00,1991,11.76,11.11,0.36
11/13/91 0:00,1991,10.51,8.91,0
11/14/91 0:00,1991,29.02,10.07,0.11
11/15/91 0:00,1991,3.35,10.32,0.14
11/16/91 0:00,1991,2.33,8.38,0.31
11/17/91 0:00,1991,9.7,7.84,0.28
11/18/91 0:00,1991,37.9,20.47,0.08
11/19/91 0:00,1991,3.77,15.41,0
11/20/91 0:00,1991,0.39,8.58,0.33
11/21/91 0:00,1991,2.6,6.34,0.26
11/22/91 0:00,1991,0.39,4.96,0.09
11/23/91 0:00,1991,0.13,3.94,0.4
