Date,WY,P,Q,ET
1/1/00 0:00,1999,23.37,7.5,2.395767153
1/2/00 0:00,1999,23.37,23.7,2.395767153
1/3/00 0:00,1999,23.37,24.2,2.395767153
1/4/00 0:00,1999,16.76,14,2.395767153
1/5/00 0:00,1999,10.16,9.2,2.395767153
1/6/00 0:00,1999,10.16,11.4,2.395767153
1/7/00 0:00,1999,10.16,10.2,2.395767153
1/8/00 0:00,1999,10.16,8.1,2.395767153
1/9/00 0:00,1999,10.16,7.3,2.395767153
1/10/00 0:00,1999,10.16,5.8,2.395767153
1/11/00 0:00,1999,10.16,5.3,2.395767153
1/12/00 0:00,1999,1.52,4.9,2.395767153
1/13/00 0:00,1999,10.92,7.3,2.395767153
1/14/00 0:00,1999,7.62,6,2.395767153
1/15/00 0:00,1999,7.62,9.4,2.395767153
1/16/00 0:00,1999,7.62,10.8,2.395767153
1/17/00 0:00,1999,7.62,6,2.395767153
1/18/00 0:00,1999,7.62,5.5,2.395767153
1/19/00 0:00,1999,0,4.7,2.395767153
1/20/00 0:00,1999,0,4.3,2.395767153
1/21/00 0:00,1999,0,4,2.395767153
1/22/00 0:00,1999,1.52,3.9,2.395767153
1/23/00 0:00,1999,1.52,3.9,2.395767153
1/24/00 0:00,1999,1.52,3.7,2.395767153
1/25/00 0:00,1999,1.27,3.9,2.395767153
1/26/00 0:00,1999,1.52,3.9,2.395767153
1/27/00 0:00,1999,0,3.3,2.395767153
1/28/00 0:00,1999,1.27,3.2,2.395767153
1/29/00 0:00,1999,4.57,7.1,2.395767153
1/30/00 0:00,1999,4.57,4,2.395767153
1/31/00 0:00,1999,4.57,3.3,2.395767153
2/1/00 0:00,1999,7.87,4.5,2.28296719
2/2/00 0:00,1999,4.57,3.7,2.28296719
2/3/00 0:00,1999,5.33,4,2.28296719
2/4/00 0:00,1999,4.32,4.3,2.28296719
2/5/00 0:00,1999,2.79,4.3,2.28296719
2/6/00 0:00,1999,2.79,3.5,2.28296719
2/7/00 0:00,1999,2.79,4.2,2.28296719
2/8/00 0:00,1999,3.56,3.7,2.28296719
2/9/00 0:00,1999,10.41,3.5,2.28296719
2/10/00 0:00,1999,6.1,3.2,2.28296719
2/11/00 0:00,1999,1.02,2.9,2.28296719
2/12/00 0:00,1999,3.56,2.9,2.28296719
2/13/00 0:00,1999,3.56,3.6,2.28296719
2/14/00 0:00,1999,3.56,3,2.28296719
2/15/00 0:00,1999,3.05,2.7,2.28296719
2/16/00 0:00,1999,2.03,2.6,2.28296719
2/17/00 0:00,1999,5.84,2.7,2.28296719
2/18/00 0:00,1999,20.83,10.8,2.28296719
2/19/00 0:00,1999,18.54,14.4,2.28296719
2/20/00 0:00,1999,18.54,5.9,2.28296719
2/21/00 0:00,1999,18.54,11.7,2.28296719
2/22/00 0:00,1999,18.54,14.7,2.28296719
2/23/00 0:00,1999,14.22,6.2,2.28296719
2/24/00 0:00,1999,0.25,4.5,2.28296719
2/25/00 0:00,1999,29.21,14,2.28296719
2/26/00 0:00,1999,1.78,5.2,2.28296719
2/27/00 0:00,1999,1.78,5.6,2.28296719
2/28/00 0:00,1999,1.78,3.9,2.28296719
2/29/00 0:00,1999,0,3.7,2.28296719
3/1/00 0:00,1999,0,3.5,2.255526664
3/2/00 0:00,1999,0,3,2.255526664
3/3/00 0:00,1999,0,2.9,2.255526664
3/4/00 0:00,1999,0,2.7,2.255526664
3/5/00 0:00,1999,0,2.7,2.255526664
3/6/00 0:00,1999,0,2.6,2.255526664
3/7/00 0:00,1999,0,2.4,2.255526664
3/8/00 0:00,1999,0,2.4,2.255526664
3/9/00 0:00,1999,0,2.3,2.255526664
3/10/00 0:00,1999,2.29,2.3,2.255526664
3/11/00 0:00,1999,2.54,2.2,2.255526664
3/12/00 0:00,1999,2.54,2.3,2.255526664
3/13/00 0:00,1999,2.54,2.3,2.255526664
3/14/00 0:00,1999,0.25,2.2,2.255526664
3/15/00 0:00,1999,1.02,2,2.255526664
3/16/00 0:00,1999,0.25,2,2.255526664
3/17/00 0:00,1999,20.07,2.6,2.255526664
3/18/00 0:00,1999,1.52,2.3,2.255526664
3/19/00 0:00,1999,1.52,2,2.255526664
3/20/00 0:00,1999,1.52,1.9,2.255526664
3/21/00 0:00,1999,5.84,2,2.255526664
3/22/00 0:00,1999,3.3,2.9,2.255526664
3/23/00 0:00,1999,3.3,2,2.255526664
3/24/00 0:00,1999,3.3,1.9,2.255526664
3/25/00 0:00,1999,0,1.9,2.255526664
3/26/00 0:00,1999,0,1.7,2.255526664
3/27/00 0:00,1999,0,1.7,2.255526664
3/28/00 0:00,1999,0.25,2,2.255526664
3/29/00 0:00,1999,14.99,5.5,2.255526664
3/30/00 0:00,1999,0,2.6,2.255526664
3/31/00 0:00,1999,0,2,2.255526664
4/1/00 0:00,1999,2.79,1.9,3.161732259
4/2/00 0:00,1999,2.79,2.9,3.161732259
4/3/00 0:00,1999,2.79,2.7,3.161732259
4/4/00 0:00,1999,1.02,2,3.161732259
4/5/00 0:00,1999,1.52,1.9,3.161732259
4/6/00 0:00,1999,1.27,1.7,3.161732259
