date,WY,WYD,P,CUM_P,Q_P300,Q_P301,ET,S,R,UPPER_R,LOWER_R
10/1/2003,2004,1,0,0,,0.050516129,1.940467742,1498.059532,0,0,0
10/2/2003,2004,2,0,0,,0.059225806,1.286839246,1496.713467,0,0,0
10/3/2003,2004,3,0,0,,0.065322581,1.694832568,1494.953312,0,0,0
10/4/2003,2004,4,0,0,,0.054870968,1.784396616,1493.114044,0,0,0
10/5/2003,2004,5,0,0,,0.051387097,1.672620461,1491.390037,0,0,0
10/6/2003,2004,6,0,0,,0.048774194,1.834292378,1489.50697,0,0,0
10/7/2003,2004,7,0,0,,0.047903226,1.848155501,1487.610912,0,0,0
10/8/2003,2004,8,0,0,,0.047032258,1.820165331,1485.743714,0,0,0
10/9/2003,2004,9,0,0,,0.047032258,1.786915587,1483.909766,0,0,0
10/10/2003,2004,10,0,0,,0.049645161,1.656119082,1482.204002,0,0,0
10/11/2003,2004,11,0,0,,0.048774194,1.705912786,1480.449315,0,0,0
10/12/2003,2004,12,0,0,,0.043548387,1.674024415,1478.731742,0,0,0
10/13/2003,2004,13,0,0,,0.042677419,1.703436765,1476.985628,0,0,0
10/14/2003,2004,14,0,0,,0.040064516,1.746609311,1475.198954,0,0,0
10/15/2003,2004,15,0,0,,0.039193548,1.728310726,1473.43145,0,0,0
10/16/2003,2004,16,0,0,,0.039193548,1.706875598,1471.685381,0,0,0
10/17/2003,2004,17,0,0,,0.036580645,1.438833968,1470.209966,0,0,0
10/18/2003,2004,18,0,0,,0.03483871,1.554628747,1468.620499,0,0,0
10/19/2003,2004,19,0,0,,0.033096774,1.691843591,1466.895558,0,0,0
10/20/2003,2004,20,0,0,,0.031354839,1.741186244,1465.123017,0,0,0
10/21/2003,2004,21,0,0,,0.031354839,1.724487342,1463.367175,0,0,0
10/22/2003,2004,22,0,0,,0.030483871,1.6411835,1461.695508,0,0,0
10/23/2003,2004,23,0,0,,0.032225806,1.570714744,1460.092567,0,0,0
10/24/2003,2004,24,0,0,,0.032225806,1.639560098,1458.420781,0,0,0
10/25/2003,2004,25,0,0,,0.030483871,1.541194488,1456.849103,0,0,0
10/26/2003,2004,26,0,0,,0.029612903,1.495576169,1455.323914,0,0,0
10/27/2003,2004,27,0,0,,0.028741935,1.538399621,1453.756772,0,0,0
10/28/2003,2004,28,0,0,,0.028741935,1.4796812,1452.248349,0,0,0
10/29/2003,2004,29,0,0,,0.029612903,1.348236187,1450.8705,0,0,0
10/30/2003,2004,30,0,0,,0.040935484,0.931832582,1449.897732,0,0,0
10/31/2003,2004,31,0,0,,0.069677419,0.336345464,1449.491709,0,0,0
11/1/2003,2004,32,0,0,,0.084483871,0.284602746,1449.122622,0,0,0
11/2/2003,2004,33,0,0,,0.087967742,0.652943999,1448.381711,0,0,0
11/3/2003,2004,34,14.94353694,14.94353694,,0.103645161,0.108138047,1463.113464,0,0,7.006788189
11/4/2003,2004,35,0,14.94353694,,0.111483871,0.45709814,1462.544882,0,0,1.36969346
11/5/2003,2004,36,0,14.94353694,,0.110612903,0.934831436,1461.499438,0,0,1.068511674
11/6/2003,2004,37,0,14.94353694,,0.113225806,0.958176373,1460.428036,0,0,0.3072366
11/7/2003,2004,38,0,14.94353694,,0.118451613,0.820055956,1459.489528,0,0,0.92087267
11/8/2003,2004,39,15.73003888,30.67357582,,0.193354839,0.501344284,1474.524868,6.873575822,18.01721658,16.59723269
11/9/2003,2004,40,17.30304277,47.97661859,,0.70983871,0.287501368,1490.830571,2.173326271,20.26932434,18.12172087
11/10/2003,2004,41,0,47.97661859,,0.204677419,0.699581584,1489.926312,0,2.53149585,0.688538475
11/11/2003,2004,42,0,47.97661859,,0.145451613,0.936577539,1488.844283,0,0.614511927,0.248014935
11/12/2003,2004,43,3.146007777,51.12262637,,0.12716129,0.348046551,1491.515083,0,0,2.209454367
11/13/2003,2004,44,0,51.12262637,,0.148064516,0.274815441,1491.092203,0,0,0
11/14/2003,2004,45,0,51.12262637,,0.137612903,0.648490854,1490.306099,0,1.876618696,0.511331443
11/15/2003,2004,46,9.43802333,60.5606497,,0.147193548,0.202200177,1499.394728,0,0.040034016,6.826259484
11/16/2003,2004,47,0,60.5606497,,0.161129032,0.153628559,1499.079971,0,4.164256253,1.172940062
11/17/2003,2004,48,0,60.5606497,,0.163741935,0.61228067,1498.303948,0,1.995369955,0.553263106
11/18/2003,2004,49,0,60.5606497,,0.149806452,0.961656296,1497.192485,0,3.600456846,0.983609241
11/19/2003,2004,50,0,60.5606497,,0.130645161,1.097931267,1495.963909,0,7.451365234,1.975182439
11/20/2003,2004,51,0,60.5606497,,0.122806452,0.807100233,1495.034002,0,0,0
11/21/2003,2004,52,0,60.5606497,,0.12716129,0.451427409,1494.455414,0,0,0
11/22/2003,2004,53,0,60.5606497,,0.122806452,0.579073794,1493.753533,0,0,0
11/23/2003,2004,54,0,60.5606497,,0.118451613,0.730467996,1492.904614,0,0,0
11/24/2003,2004,55,0,60.5606497,,0.118451613,0.502518804,1492.283643,0,0,0
11/25/2003,2004,56,0,60.5606497,,0.118451613,0.660387636,1491.504804,0,0,0
11/26/2003,2004,57,0,60.5606497,,0.117580645,0.63013332,1490.75709,0,0,0
11/27/2003,2004,58,0,60.5606497,,0.114967742,0.745826625,1489.896296,0,0,0
11/28/2003,2004,59,0,60.5606497,,0.117580645,0.64101225,1489.137703,0,0,0
11/29/2003,2004,60,0,60.5606497,,0.128903226,0.685390772,1488.323409,0,0,0
11/30/2003,2004,61,0,60.5606497,,0.123677419,0.732027645,1487.467704,0,0,0
12/1/2003,2004,62,0,60.5606497,,0.118451613,0.589080261,1486.760172,0,0,0
12/2/2003,2004,63,0,60.5606497,,0.11583871,0.730802221,1485.913531,0,0,0
12/3/2003,2004,64,0,60.5606497,,0.110612903,0.883752027,1484.919166,0,0,0
12/4/2003,2004,65,0,60.5606497,,0.107129032,0.754153481,1484.057884,0,0,0
12/5/2003,2004,66,8.651521386,69.21217109,,0.164612903,0.324281521,1492.220511,0,1.471651504,6.749749312
12/6/2003,2004,67,4.719011665,73.93118275,,0.184645161,0.251624921,1496.503252,0,4.596576739,4.685912017
12/7/2003,2004,68,27.52756805,101.4587508,,0.841354839,0.534810668,1522.654655,0,20.50261954,27.60378421
12/8/2003,2004,69,6.292015553,107.7507664,,0.228193548,0.401309081,1528.317168,0,0,5.712004805
12/9/2003,2004,70,4.719011665,112.469778,,0.164612903,0.855782772,1532.015784,0,0,0.112851619
12/10/2003,2004,71,21.23555249,133.7053305,,0.175064516,0.106498124,1552.969773,0,4.230979748,16.00436197
12/11/2003,2004,72,27.52756805,161.2328986,,0.179419355,0.090851005,1580.227071,0,7.702246446,20.94855445
12/12/2003,2004,73,0,161.2328986,,0.168096774,0.122621132,1579.936353,0,7.28991552,2.47755792
12/13/2003,2004,74,0,161.2328986,,0.233419355,0.936792166,1578.766142,0,6.362220164,3.884786342
12/14/2003,2004,75,20.44905055,181.6819491,,0.209903226,0.123542718,1598.881746,0,0,11.71697674
12/15/2003,2004,76,0,181.6819491,,0.176806452,0.113152793,1598.591787,0,6.060566352,2.115611592
12/16/2003,2004,77,0,181.6819491,,0.179419355,0.367226957,1598.045141,0,1.258674084,0.433806414
12/17/2003,2004,78,0,181.6819491,,0.182032258,1.033891704,1596.829217,0,5.366051528,1.826659388
12/18/2003,2004,79,0,181.6819491,,0.192483871,0.790808612,1595.845924,0,6.700228884,2.229662214
