Date,DATE,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7,WS_8,WS_9
90101,1/1/09,0,0,0,0,0,0,0,0,0
90102,1/2/09,0,0,0,0,0,0,0,0,0
90103,1/3/09,0,0,0,0,0,0,1.1,0.8,0.8
90104,1/4/09,0,0,0,0,0,0,0,0,0
90105,1/5/09,3,3,2.9,3.2,3.2,3.2,2.5,2.2,2.7
90106,1/6/09,0,0,0,0,0,0,0,0,0
90107,1/7/09,16,15.4,14,15.5,14.8,15.2,16,16.2,17.6
90108,1/8/09,5.3,5.7,5.9,4.7,5.3,5.6,5.4,5.3,5.6
90109,1/9/09,0,0,0,0,0,0,0,0,0
90110,1/10/09,0,0,0,0,0,0,0,0,0
90111,1/11/09,8.6,8.8,8.6,8,8.4,8.9,10,10,10.1
90112,1/12/09,0,0,0,0,0,0,0,0,0
90113,1/13/09,1.1,0.9,0.8,1.3,1.1,1.1,1.4,1.4,1.5
90114,1/14/09,0.8,0.9,1.2,0.8,1,0.9,0.9,0.8,1
90115,1/15/09,0,0,0,0,0,0,0,0,0
90116,1/16/09,0.4,0.3,0.3,0.5,0.3,0.2,0.3,0.3,0.3
90117,1/17/09,0,0,0,0,0,0,0,0,0
90118,1/18/09,9.5,8.9,8.8,10.9,10.4,11.5,13.1,12.8,12.7
90119,1/19/09,4.4,4.5,5.4,4.5,4.7,4.4,5.1,5,5.9
90120,1/20/09,0,0,0,0,0,0,0,0,0
90121,1/21/09,0,0,0,0,0,0,0,0,0
90122,1/22/09,0,0,0,0,0,0,0,0,0
90123,1/23/09,0,0,0,0,0,0,0,0,0
90124,1/24/09,3.1,3.2,3.9,3,3.2,3.1,1.3,0.5,0.3
90125,1/25/09,0,0,0,0,0,0,0,0,0
90126,1/26/09,0,0,0,0,0,0,0,0,0
90127,1/27/09,0,0,0,0,0,0,0,0,0
90128,1/28/09,24.1,23.1,23.1,26.2,26.5,28.5,35.3,35.2,35.8
90129,1/29/09,0.8,0.9,1,0.9,1,1,0.9,0.9,0.8
90130,1/30/09,0,0,0,0,0,0,0,0,0
90131,1/31/09,0,0,0,0,0,0,0,0,0
90201,2/1/09,0,0,0,0,0,0,0,0,0
90202,2/2/09,0,0,0,0,0,0,0,0,0
90203,2/3/09,0.4,0.3,0.3,0.4,0.3,0.3,0,0.1,0
90204,2/4/09,0,0,0,0,0,0,0,0,0
90205,2/5/09,0,0,0,0,0,0,0,0,0
90206,2/6/09,0,0,0,0,0,0,0,0,0
90207,2/7/09,0,0,0,0,0,0,0,0,0
90208,2/8/09,2.4,2.6,2.5,2.3,2.8,3.4,1.5,2,1.3
90209,2/9/09,0,0,0,0,0,0,0,0,0
90210,2/10/09,0,0,0,0,0,0,0,0,0
90211,2/11/09,6.1,5.9,5.7,6.2,6.1,6.3,5.3,5.3,5.7
90212,2/12/09,19.6,19.4,19.4,19.7,20.7,22.5,19.6,19.1,19.2
90213,2/13/09,0.9,0.9,0.9,0.9,0.9,1,1.1,0.9,0.7
90214,2/14/09,0,0,0,0,0,0,0,0,0
90215,2/15/09,0,0,0,0,0,0,0,0,0
90216,2/16/09,0,0,0,0,0,0,0,0,0
90217,2/17/09,0,0,0,0,0,0,0,0,0
90218,2/18/09,6,5.7,5.5,6.8,6.4,6.8,8.7,9.8,11.9
90219,2/19/09,8.7,8.8,9.4,9.4,9.5,9.4,14.1,14.1,14
90220,2/20/09,1.2,1.2,1.3,1.4,1.8,2.8,5,5,5.2
90221,2/21/09,0,0,0,0,0,0,0,0,0
90222,2/22/09,15.5,15.5,16.1,17.1,17.9,20,25.1,25.1,23.2
90223,2/23/09,4.7,4.7,4.9,5.2,5.8,7.1,5.7,6.2,7.1
90224,2/24/09,0.4,0.4,0.4,0.4,0.4,0.5,0.2,0.2,0.3
90225,2/25/09,0,0,0,0,0,0,0,0,0
90226,2/26/09,0,0,0,0,0,0,0,0,0
90227,2/27/09,11.8,11.4,11.3,11.8,11,11.1,14.4,15.1,15
90228,2/28/09,0.9,1,1.1,0.8,1,1,1,1,0.9
90301,3/1/09,0,0,0,0,0,0,0,0,0
90302,3/2/09,5.8,5.8,6.1,5.6,5.7,5.8,4.3,4.7,4.9
90303,3/3/09,0.5,0.5,0.7,0.4,0.4,0.3,0,0,0
90304,3/4/09,0,0,0,0,0,0,0,0,0
90305,3/5/09,0,0,0,0,0,0,0,0,0
90306,3/6/09,1.9,1.8,1.7,2,1.6,1.3,0.9,1.2,1.6
90307,3/7/09,6.8,6.4,6.1,7.2,7.5,9.2,5.5,5.9,7.4
90308,3/8/09,7.5,8,8.8,6.9,6.8,5.5,10.3,9.8,9
90309,3/9/09,11.1,11,11.2,11.2,10.8,10.8,9.6,9.8,11.1
90310,3/10/09,1.3,1.4,1.6,1.3,2.5,4.4,1.5,1.6,1.7
90311,3/11/09,25,24.6,25.2,25.7,24.1,22.8,24,24.3,23.1
90312,3/12/09,0,0,0,0,0,0,0,0,0
90313,3/13/09,0,0,0,0,0,0,0,0,0
90314,3/14/09,0,0,0,0,0,0,0,0,0
90315,3/15/09,0,0,0,0,0,0,0,0,0
90316,3/16/09,0,0,0,0,0,0,0,0,0
90317,3/17/09,0,0,0,0,0,0,0,0,0
90318,3/18/09,2.3,2.1,1.9,2.3,2.9,3,1.9,2,2.3
90319,3/19/09,0.9,0.9,0.9,0.9,1.1,0.9,1.6,1.3,0.9
90320,3/20/09,0,0,0,0,0,0,0,0,0
90321,3/21/09,0,0,0,0,0,0,0,0,0
90322,3/22/09,0.7,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.7
90323,3/23/09,0,0,0,0,0,0,0,0,0
90324,3/24/09,0,0,0,0,0,0,0,0,0
90325,3/25/09,0,0,0,0,0,0,0,0,0
90326,3/26/09,5.5,5.2,4.9,5.9,5.6,6.3,8.1,7.8,8.2
90327,3/27/09,1.4,1.7,2.1,1.1,1.2,0.8,1.1,0.9,0.9
90328,3/28/09,0,0,0,0,0,0,0,0,0
90329,3/29/09,12.1,12.1,12.5,12.2,12,12.3,13.8,13.2,15.8
90330,3/30/09,4.6,4.6,4.6,4.7,4.6,4.7,5.4,5.1,4.4
90331,3/31/09,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
90401,4/1/09,2.7,2.4,2.1,3.2,2.8,2.7,2.1,2.6,3
90402,4/2/09,0.7,0.8,1,0.6,0.8,0.8,1.1,0.9,0.5
90403,4/3/09,10.5,10.5,10.7,11.3,11.9,12.3,14.7,15.4,13.4
90404,4/4/09,4.1,4.1,4.2,4.3,4.6,4.5,5.3,5.5,4.8
90405,4/5/09,0,0,0,0,0,0,0.3,0.2,0.1
90406,4/6/09,24.7,24.3,23.3,24.8,24.4,25.3,24.8,25.1,25.9
90407,4/7/09,5.9,6.2,6.4,5.5,5.6,5.1,6.5,6.1,5.6
90408,4/8/09,0,0,0,0,0,0,0,0,0
90409,4/9/09,0,0,0,0,0,0,0,0,0
90410,4/10/09,0,0,0,0,0,0,0,0,0
90411,4/11/09,0,0,0,0,0,0,0,0,0
90412,4/12/09,0.8,0.9,1,0.7,0.9,1.1,0.3,0.3,0.3
90413,4/13/09,0,0,0,0,0,0,0,0,0
90414,4/14/09,0,0,0,0,0,0,0,0,0
90415,4/15/09,0,0,0,0,0,0,0,0,0
90416,4/16/09,0,0,0,0,0,0,0,0,0
90417,4/17/09,0,0,0,0,0,0,0,0,0
90418,4/18/09,0,0,0,0,0,0,0,0,0
90419,4/19/09,0,0,0,0,0,0,0,0,0
90420,4/20/09,0,0,0,0,0,0,0,0,0
90421,4/21/09,14.6,14.4,14,15.6,15.6,16.2,18.8,19.1,17.2
90422,4/22/09,13.1,12.7,12.1,14.2,14.2,15.2,14.3,14.5,13.2
90423,4/23/09,8.4,8.2,7.8,9.1,8.7,8.8,6.3,6.2,6.2
90424,4/24/09,0,0,0,0,0,0,0,0,0
90425,4/25/09,0,0,0,0,0,0,0,0,0
90426,4/26/09,0,0,0,0,0,0,0,0,0
90427,4/27/09,0,0,0,0,0,0,0,0,0
90428,4/28/09,0,0,0,0,0,0,0,0,0
90429,4/29/09,0,0,0,0,0,0,0,0,0
90430,4/30/09,1.6,1.5,1.3,1.8,1.5,1.4,1.4,1.7,2.3
90501,5/1/09,8.7,8.6,8.7,9.2,8.8,8.8,8.1,8.3,10
90502,5/2/09,5.2,5.3,5.5,5.3,5.6,6,9.2,8.2,6.9
90503,5/3/09,0,0,0,0,0,0,0,0,0
90504,5/4/09,0,0,0,0,0,0,0,0,0
90505,5/5/09,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.7
90506,5/6/09,2.1,2.2,2.4,2.2,2.3,2.1,2.2,2,2.5
90507,5/7/09,16.7,16.6,16.9,18.2,17.9,17.5,19.8,18.7,19.8
