Date,DATE,STA_1,STA_6,STA_14,STA_INT,STA_HQ,STA_23,STA_17,STA_24
90101,1/1/2009,-17,-21,-21,-18,-17,-20,-23,-26
90102,1/2/2009,-11,-12,-11,-11,-13,-13,-14,-17
90103,1/3/2009,-8,-11,-11,-8,-7,-10,-13,-15
90104,1/4/2009,-9,-8,-9,-9,-7,-8,-9,-9
90105,1/5/2009,-3,-4,-4,-2,-2,-5,-6,-7
90106,1/6/2009,-6,-8,-9,-6,-6,-9,-10,-10
90107,1/7/2009,-6,-7,-6,-6,-6,-6,-7,-7
90108,1/8/2009,-7,-9,-9,-7,-7,-9,-10,-9
90109,1/9/2009,-12,-14,-16,-12,-11,-16,-17,-17
90110,1/10/2009,-11,-13,-15,-11,-9,-16,-16,-16
90111,1/11/2009,-8,-9,-9,-8,-8,-9,-10,-10
90112,1/12/2009,-9,-10,-12,-9,-10,-12,-12,-12
90113,1/13/2009,-9,-9,-9,-9,-11,-10,-9,-10
90114,1/14/2009,-12,-14,-14,-12,-12,-15,-15,-14
90115,1/15/2009,-16,-18,-17,-17,-17,-22,-22,-22
90116,1/16/2009,-18,-19,-21,-18,-21,-22,-22,-23
90117,1/17/2009,-16,-17,-18,-16,-17,-19,-20,-19
90118,1/18/2009,-11,-12,-12,-11,-11,-12,-13,-12
90119,1/19/2009,-6,-7,-8,-6,-6,-9,-9,-7
90120,1/20/2009,-8,-10,-12,-8,-7,-13,-14,-12
90121,1/21/2009,-11,-13,-16,-11,-11,-16,-16,-16
90122,1/22/2009,-7,-8,-9,-7,-8,-8,-11,-9
90123,1/23/2009,-5,-5,-6,-5,-4,-6,-6,-6
90124,1/24/2009,-10,-12,-11,-10,-9,-11,-12,-12
90125,1/25/2009,-14,-15,-16,-14,-14,-17,-18,-18
90126,1/26/2009,-13,-13,-16,-13,-13,-16,-17,-17
90127,1/27/2009,-10,-11,-13,-11,-12,-14,-15,-14
90128,1/28/2009,-8,-9,-9,-9,-9,-9,-10,-9
