DATE TIME,VALUE,precip_in,precip_mm
10/1/16,0,0,0
10/2/16,0,0,0
10/3/16,0,0,0
10/4/16,0,0,0
10/5/16,0,0,0
10/6/16,0,0,0
10/7/16,0,0,0
10/8/16,0,0,0
10/9/16,0,0,0
10/10/16,0,0,0
10/11/16,0,0,0
10/12/16,0,0,0
10/13/16,0,0,0
10/14/16,0,0,0
10/15/16,0,0,0
10/16/16,0,0,0
10/17/16,0,0,0
10/18/16,0,0,0
10/19/16,0,0,0
10/20/16,0,0,0
10/21/16,0,0,0
10/22/16,0,0,0
10/23/16,0,0,0
10/24/16,0,0,0
10/25/16,0,0,0
10/26/16,0,0,0
10/27/16,0,0,0
10/28/16,0,0,0
10/29/16,0,0,0
10/30/16,0,0,0
10/31/16,0,0,0
11/1/16,0,0,0
11/2/16,0,0,0
11/3/16,0,0,0
11/4/16,0,0,0
11/5/16,0,0,0
11/6/16,0,0,0
11/7/16,0,0,0
11/8/16,0,0,0
11/9/16,0,0,0
11/10/16,0,0,0
11/11/16,0,0,0
11/12/16,0,0,0
11/13/16,0,0,0
11/14/16,0,0,0
11/15/16,0.3,0.3,7.62
11/16/16,0.4,0.1,2.54
11/17/16,0.4,0,0
11/18/16,0.4,0,0
11/19/16,1.4,1,25.4
11/20/16,3.1,1.7,43.18
11/21/16,3.3,0.2,5.08
11/22/16,3.3,0,0
11/23/16,4.1,0.8,20.32
11/24/16,4.1,0,0
11/25/16,4.1,0,0
11/26/16,4.6,0.5,12.7
11/27/16,5.8,1.2,30.48
11/28/16,6,0.2,5.08
11/29/16,6,0,0
11/30/16,6.1,0.1,2.54
12/1/16,6.1,0,0
12/2/16,6.1,0,0
12/3/16,6.1,0,0
12/4/16,6.1,0,0
12/5/16,6.1,0,0
12/6/16,6.1,0,0
12/7/16,6.5,0.4,10.16
12/8/16,7.2,0.7,17.78
12/9/16,7.7,0.5,12.7
12/10/16,12.2,4.5,114.3
12/11/16,12.2,0,0
12/12/16,12.2,0,0
12/13/16,12.7,0.5,12.7
12/14/16,12.8,0.1,2.54
12/15/16,16.2,3.4,86.36
12/16/16,17,0.8,20.32
12/17/16,17.1,0.1,2.54
12/18/16,17.1,0,0
12/19/16,17.1,0,0
12/20/16,17.1,0,0
12/21/16,17.3,0.2,5.08
12/22/16,17.3,0,0
12/23/16,18.4,1.1,27.94
12/24/16,19.1,0.7,17.78
12/25/16,19.4,0.3,7.62
12/26/16,19.4,0,0
12/27/16,19.4,0,0
12/28/16,19.4,0,0
12/29/16,19.4,0,0
12/30/16,19.4,0,0
12/31/16,19.4,0,0
1/1/17,19.4,0,0
1/2/17,19.9,0.5,12.7
1/3/17,20.2,0.3,7.62
1/4/17,26.7,6.5,165.1
1/5/17,28.3,1.6,40.64
1/6/17,28.3,0,0
1/7/17,30.4,2.1,53.34
1/8/17,30.4,0,0
1/9/17,30.4,0,0
1/10/17,30.4,0,0
1/11/17,30.4,0,0
1/12/17,30.4,0,0
1/13/17,30.4,0,0
1/14/17,30.4,0,0
1/15/17,30.4,0,0
1/16/17,30.4,0,0
1/17/17,193.9,0,0
1/18/17,194.1,0.2,5.08
1/19/17,195.1,1,25.4
1/20/17,195.1,0,0
1/21/17,195.2,0.1,2.54
1/22/17,195.2,0,0
1/23/17,196.1,0.9,22.86
1/24/17,196.1,0,0
1/25/17,196.1,0,0
1/26/17,196.1,0,0
1/27/17,197.1,1,25.4
1/28/17,198.1,1,25.4
1/29/17,198.8,0.7,17.78
1/30/17,199.6,0.8,20.32
1/31/17,200.1,0.5,12.7
2/1/17,200.5,0.4,10.16
2/2/17,201.2,0.7,17.78
2/3/17,201.2,0,0
2/4/17,201.6,0.4,10.16
2/5/17,201.6,0,0
2/6/17,201.9,0.3,7.62
2/7/17,209.5,7.6,193.04
2/8/17,215.6,6.1,154.94
2/9/17,218,2.4,60.96
2/10/17,218.7,0.7,17.78
2/11/17,220,1.3,33.02
2/12/17,220.3,0.3,7.62
2/13/17,220.3,0,0
2/14/17,220.3,0,0
2/15/17,220.3,0,0
2/16/17,221,0.7,17.78
2/17/17,221.1,0.1,2.54
2/18/17,222.2,1.1,27.94
2/19/17,222.2,0,0
2/20/17,222.5,0.3,7.62
2/21/17,222.5,0,0
2/22/17,222.5,0,0
2/23/17,222.5,0,0
2/24/17,222.5,0,0
2/25/17,222.5,0,0
2/26/17,222.5,0,0
2/27/17,222.5,0,0
2/28/17,222.7,0.2,5.08
3/1/17,223.2,0.5,12.7
3/2/17,225.9,2.7,68.58
3/3/17,231.4,5.5,139.7
3/4/17,232,0.6,15.24
3/5/17,233.7,1.7,43.18
3/6/17,233.8,0.1,2.54
3/7/17,233.8,0,0
3/8/17,235,1.2,30.48
3/9/17,235.3,0.3,7.62
3/10/17,235.3,0,0
3/11/17,235.3,0,0
3/12/17,235.3,0,0
3/13/17,235.4,0.1,2.54
3/14/17,235.4,0,0
3/15/17,235.4,0,0
3/16/17,235.4,0,0
3/17/17,235.5,0.1,2.54
3/18/17,235.6,0.1,2.54
3/19/17,235.6,0,0
3/20/17,235.7,0.1,2.54
3/21/17,237.3,1.6,40.64
3/22/17,237.7,0.4,10.16
3/23/17,237.8,0.1,2.54
3/24/17,238.8,1,25.4
3/25/17,239.1,0.3,7.62
3/26/17,239.6,0.5,12.7
3/27/17,240,0.4,10.16
3/28/17,240.1,0.1,2.54
3/29/17,240.1,0,0
3/30/17,240.9,0.8,20.32
3/31/17,240.9,0,0
4/1/17,240.9,0,0
4/2/17,241,0.1,2.54
4/3/17,241,0,0
4/4/17,241,0,0
4/5/17,241,0,0
4/6/17,242.3,1.3,33.02
4/7/17,244.3,2,50.8
4/8/17,245.4,1.1,27.94
4/9/17,245.4,0,0
4/10/17,245.5,0.1,2.54
4/11/17,245.6,0.1,2.54
4/12/17,246.9,1.3,33.02
4/13/17,249.1,2.2,55.88
4/14/17,249.6,0.5,12.7
4/15/17,249.6,0,0
4/16/17,250.3,0.7,17.78
4/17/17,251.1,0.8,20.32
4/18/17,251.7,0.6,15.24
4/19/17,251.7,0,0
4/20/17,252,0.3,7.62
4/21/17,252.1,0.1,2.54
4/22/17,252.1,0,0
4/23/17,252.1,0,0
4/24/17,252.8,0.7,17.78
4/25/17,252.9,0.1,2.54
4/26/17,253.4,0.5,12.7
4/27/17,253.7,0.3,7.62
4/28/17,253.7,0,0
4/29/17,253.7,0,0
4/30/17,253.7,0,0
5/1/17,253.7,0,0
5/2/17,253.7,0,0
5/3/17,253.7,0,0
5/4/17,253.7,0,0
5/5/17,253.7,0,0
5/6/17,254.5,0.8,20.32
5/7/17,254.5,0,0
5/8/17,254.6,0.1,2.54
5/9/17,254.6,0,0
5/10/17,254.7,0.1,2.54
5/11/17,254.7,0,0
5/12/17,254.7,0,0
5/13/17,254.7,0,0
5/14/17,254.7,0,0
5/15/17,254.8,0.1,2.54
5/16/17,255.1,0.3,7.62
5/17/17,255.3,0.2,5.08
5/18/17,255.4,0.1,2.54
5/19/17,255.4,0,0
5/20/17,255.4,0,0
5/21/17,255.4,0,0
5/22/17,255.4,0,0
5/23/17,255.4,0,0
5/24/17,255.4,0,0
5/25/17,255.5,0.1,2.54
5/26/17,255.5,0,0
5/27/17,255.6,0.1,2.54
5/28/17,255.6,0,0
5/29/17,255.7,0.1,2.54
5/30/17,255.7,0,0
5/31/17,255.7,0,0
6/1/17,255.7,0,0
6/2/17,255.7,0,0
6/3/17,255.7,0,0
6/4/17,255.7,0,0
6/5/17,255.7,0,0
6/6/17,255.7,0,0
6/7/17,255.8,0.1,2.54
6/8/17,255.8,0,0
6/9/17,256,0.2,5.08
6/10/17,256,0,0
6/11/17,256.1,0.1,2.54
6/12/17,256.6,0.5,12.7
6/13/17,256.7,0.1,2.54
6/14/17,256.7,0,0
6/15/17,256.7,0,0
6/16/17,256.7,0,0
6/17/17,256.7,0,0
6/18/17,256.7,0,0
6/19/17,256.7,0,0
6/20/17,256.7,0,0
6/21/17,256.8,0.1,2.54
6/22/17,256.8,0,0
6/23/17,256.8,0,0
6/24/17,256.8,0,0
6/25/17,256.8,0,0
6/26/17,256.8,0,0
6/27/17,256.8,0,0
6/28/17,256.8,0,0
6/29/17,256.8,0,0
6/30/17,256.8,0,0
7/1/17,256.8,0,0
7/2/17,256.8,0,0
7/3/17,256.8,0,0
7/4/17,256.8,0,0
7/5/17,256.8,0,0
7/6/17,256.8,0,0
7/7/17,256.8,0,0
7/8/17,256.8,0,0
7/9/17,256.8,0,0
7/10/17,256.8,0,0
7/11/17,256.8,0,0
7/12/17,256.8,0,0
7/13/17,256.8,0,0
7/14/17,256.8,0,0
7/15/17,256.8,0,0
7/16/17,256.8,0,0
7/17/17,256.8,0,0
7/18/17,256.8,0,0
7/19/17,256.8,0,0
7/20/17,256.8,0,0
7/21/17,256.8,0,0
7/22/17,256.9,0.1,2.54
7/23/17,256.9,0,0
7/24/17,256.9,0,0
7/25/17,256.9,0,0
7/26/17,256.9,0,0
7/27/17,256.9,0,0
7/28/17,257,0.1,2.54
7/29/17,257,0,0
7/30/17,257,0,0
7/31/17,257,0,0
8/1/17,257,0,0
8/2/17,257,0,0
8/3/17,257.1,0.1,2.54
8/4/17,257.1,0,0
8/5/17,257.2,0.1,2.54
8/6/17,257.2,0,0
8/7/17,257.2,0,0
8/8/17,257.3,0.1,2.54
8/9/17,257.3,0,0
8/10/17,257.4,0.1,2.54
8/11/17,257.4,0,0
8/12/17,257.4,0,0
8/13/17,257.4,0,0
8/14/17,257.5,0.1,2.54
8/15/17,257.5,0,0
8/16/17,257.6,0.1,2.54
8/17/17,257.6,0,0
8/18/17,257.6,0,0
8/19/17,257.6,0,0
8/20/17,257.7,0.1,2.54
8/21/17,257.7,0,0
8/22/17,257.8,0.1,2.54
8/23/17,257.9,0.1,2.54
8/24/17,257.9,0,0
8/25/17,257.9,0,0
8/26/17,257.9,0,0
8/27/17,257.9,0,0
8/28/17,257.9,0,0
8/29/17,257.9,0,0
8/30/17,257.9,0,0
8/31/17,257.9,0,0
9/1/17,369.3,0,0
9/2/17,369.3,0,0
9/3/17,369.3,0,0
9/4/17,369.3,0,0
9/5/17,385.2,0,0
9/6/17,385.3,0.1,2.54
9/7/17,385.3,0,0
9/8/17,385.3,0,0
9/9/17,385.4,0.1,2.54
9/10/17,385.4,0,0
9/11/17,385.7,0.3,7.62
9/12/17,385.7,0,0
9/13/17,385.8,0.1,2.54
9/14/17,385.9,0.1,2.54
9/15/17,385.9,0,0
9/16/17,385.9,0,0
9/17/17,385.9,0,0
9/18/17,385.9,0,0
9/19/17,385.9,0,0
9/20/17,386.3,0.4,10.16
9/21/17,386.9,0.6,15.24
9/22/17,387.2,0.3,7.62
9/23/17,387.2,0,0
9/24/17,387.3,0.1,2.54
9/25/17,387.3,0,0
9/26/17,387.3,0,0
9/27/17,387.3,0,0
9/28/17,387.4,0.1,2.54
9/29/17,387.4,0,0
9/30/17,387.4,0,0
10/1/17,,0,0
10/2/17,0.1,0.1,2.54
10/3/17,0.1,0,0
10/4/17,0.1,0,0
10/5/17,0.1,0,0
10/6/17,0.2,0.1,2.54
10/7/17,0.2,0,0
10/8/17,0.2,0,0
10/9/17,0.2,0,0
10/10/17,0.3,0.1,2.54
10/11/17,0.3,0,0
10/12/17,0.4,0.1,2.54
10/13/17,0.4,0,0
10/14/17,0.5,0.1,2.54
10/15/17,0.5,0,0
10/16/17,0.5,0,0
10/17/17,0.7,0.2,5.08
10/18/17,0.7,0,0
10/19/17,0.7,0,0
10/20/17,1.6,0.9,22.86
10/21/17,1.6,0,0
10/22/17,1.7,0.1,2.54
10/23/17,1.8,0.1,2.54
10/24/17,1.8,0,0
10/25/17,1.8,0,0
10/26/17,1.8,0,0
10/27/17,1.8,0,0
10/28/17,1.8,0,0
10/29/17,1.9,0.1,2.54
10/30/17,1.9,0,0
10/31/17,1.9,0,0
11/1/17,1.9,0,0
11/2/17,1.9,0,0
11/3/17,2.6,0.7,17.78
11/4/17,4.1,1.5,38.1
11/5/17,4.4,0.3,7.62
11/6/17,4.4,0,0
11/7/17,4.4,0,0
11/8/17,4.4,0,0
11/9/17,6.2,1.8,45.72
11/10/17,6.4,0.2,5.08
11/11/17,6.4,0,0
11/12/17,6.4,0,0
11/13/17,7.3,0.9,22.86
11/14/17,7.4,0.1,2.54
11/15/17,9.8,2.4,60.96
11/16/17,14.1,4.3,109.22
11/17/17,14.8,0.7,17.78
11/18/17,14.9,0.1,2.54
11/19/17,14.9,0,0
11/20/17,15.9,1,25.4
11/21/17,15.9,0,0
11/22/17,15.9,0,0
11/23/17,16,0.1,2.54
11/24/17,16,0,0
11/25/17,16.1,0.1,2.54
11/26/17,17.7,1.6,40.64
11/27/17,18.2,0.5,12.7
11/28/17,18.2,0,0
11/29/17,18.2,0,0
11/30/17,18.2,0,0
12/1/17,18.2,0,0
12/2/17,18.2,0,0
12/3/17,18.6,0.4,10.16
12/4/17,18.6,0,0
12/5/17,18.6,0,0
12/6/17,18.6,0,0
12/7/17,18.7,0.1,2.54
12/8/17,18.7,0,0
12/9/17,18.7,0,0
12/10/17,18.8,0.1,2.54
12/11/17,18.9,0.1,2.54
12/12/17,18.9,0,0
12/13/17,19,0.1,2.54
12/14/17,19,0,0
12/15/17,19,0,0
12/16/17,19,0,0
12/17/17,19,0,0
12/18/17,19.2,0.2,5.08
12/19/17,19.2,0,0
12/20/17,19.6,0.4,10.16
12/21/17,19.6,0,0
12/22/17,19.7,0.1,2.54
12/23/17,19.8,0.1,2.54
12/24/17,19.8,0,0
12/25/17,19.8,0,0
12/26/17,19.8,0,0
12/27/17,19.8,0,0
12/28/17,19.8,0,0
12/29/17,19.8,0,0
12/30/17,19.8,0,0
12/31/17,19.8,0,0
1/1/18,19.8,0,0
1/2/18,19.9,0.1,2.54
1/3/18,20,0.1,2.54
1/4/18,20.4,0.4,10.16
1/5/18,21.5,1.1,27.94
1/6/18,22.3,0.8,20.32
1/7/18,22.3,0,0
1/8/18,23.6,1.3,33.02
1/9/18,24.9,1.3,33.02
1/10/18,25.2,0.3,7.62
1/11/18,25.2,0,0
1/12/18,25.3,0.1,2.54
1/13/18,25.3,0,0
1/14/18,25.3,0,0
1/15/18,25.3,0,0
1/16/18,25.5,0.2,5.08
1/17/18,25.5,0,0
1/18/18,25.7,0.2,5.08
1/19/18,26.6,0.9,22.86
1/20/18,26.6,0,0
1/21/18,26.6,0,0
1/22/18,26.9,0.3,7.62
1/23/18,27,0.1,2.54
1/24/18,27.9,0.9,22.86
1/25/18,28.3,0.4,10.16
1/26/18,29.1,0.8,20.32
1/27/18,29.1,0,0
1/28/18,29.3,0.2,5.08
1/29/18,29.3,0,0
1/30/18,29.3,0,0
1/31/18,29.3,0,0
2/1/18,29.3,0,0
2/2/18,29.3,0,0
2/3/18,29.3,0,0
2/4/18,29.3,0,0
2/5/18,29.3,0,0
2/6/18,29.3,0,0
2/7/18,29.3,0,0
2/8/18,29.3,0,0
2/9/18,29.3,0,0
2/10/18,29.3,0,0
2/11/18,29.3,0,0
2/12/18,29.3,0,0
2/13/18,29.3,0,0
2/14/18,29.3,0,0
2/15/18,29.3,0,0
2/16/18,29.4,0.1,2.54
2/17/18,29.5,0.1,2.54
2/18/18,29.5,0,0
2/19/18,29.5,0,0
2/20/18,29.8,0.3,7.62
2/21/18,29.8,0,0
2/22/18,29.8,0,0
2/23/18,30.2,0.4,10.16
2/24/18,30.4,0.2,5.08
