Date,STREAMFLOW_(CFS)
10/1/39,64
10/2/39,66
10/3/39,68
10/4/39,200
10/5/39,280
10/6/39,200
10/7/39,150
10/8/39,120
10/9/39,100
10/10/39,90
10/11/39,85
10/12/39,81
10/13/39,78
10/14/39,75
10/15/39,72
10/16/39,70
10/17/39,100
10/18/39,159
10/19/39,172
10/20/39,169
10/21/39,137
10/22/39,112
10/23/39,106
10/24/39,128
10/25/39,146
10/26/39,204
10/27/39,528
10/28/39,510
10/29/39,300
10/30/39,193
10/31/39,161
11/1/39,144
11/2/39,132
11/3/39,125
11/4/39,119
11/5/39,110
11/6/39,106
11/7/39,102
11/8/39,110
11/9/39,110
11/10/39,106
11/11/39,102
11/12/39,98
11/13/39,98
11/14/39,102
11/15/39,98
11/16/39,98
11/17/39,94
11/18/39,94
11/19/39,94
11/20/39,94
11/21/39,90
11/22/39,100
11/23/39,104
11/24/39,102
11/25/39,98
11/26/39,121
11/27/39,204
11/28/39,179
11/29/39,149
11/30/39,159
12/1/39,177
12/2/39,225
12/3/39,228
12/4/39,199
12/5/39,182
12/6/39,216
12/7/39,225
12/8/39,1210
12/9/39,1910
12/10/39,5840
12/11/39,2840
12/12/39,1710
12/13/39,1190
12/14/39,1100
12/15/39,4820
12/16/39,11800
12/17/39,7790
12/18/39,4440
12/19/39,2890
12/20/39,2800
12/21/39,2490
12/22/39,2060
12/23/39,1720
12/24/39,1450
12/25/39,1250
12/26/39,1100
12/27/39,1010
12/28/39,1160
12/29/39,1510
12/30/39,1780
12/31/39,1870
1/1/40,2750
1/2/40,2860
1/3/40,2590
1/4/40,4090
1/5/40,5530
1/6/40,3390
1/7/40,2660
1/8/40,2250
1/9/40,2130
1/10/40,2360
1/11/40,2120
1/12/40,1910
1/13/40,1680
1/14/40,1520
1/15/40,1380
1/16/40,1260
1/17/40,1170
1/18/40,1070
1/19/40,1000
1/20/40,926
1/21/40,860
1/22/40,810
1/23/40,783
1/24/40,810
1/25/40,1110
1/26/40,2050
1/27/40,3490
1/28/40,2600
1/29/40,1990
1/30/40,1650
1/31/40,1430
2/1/40,1280
2/2/40,1160
2/3/40,1230
2/4/40,2570
