DATE.TIME,in,mm
10/1/89,0,0
10/2/89,0,0
10/3/89,0,0
10/4/89,0,0
10/5/89,0,0
10/6/89,0,0
10/7/89,0,0
10/8/89,0,0
10/9/89,0,0
10/10/89,0,0
10/11/89,0,0
10/12/89,0,0
10/13/89,0,0
10/14/89,0,0
10/15/89,0,0
10/16/89,0,0
10/17/89,0,0
10/18/89,0,0
10/19/89,0,0
10/20/89,0,0
10/21/89,0.9,22.86
10/22/89,1.6,40.64
10/23/89,3.3,83.82
10/24/89,2.07,52.578
10/25/89,0.15,3.81
10/26/89,0.04,1.016
10/27/89,0.3,7.62
10/28/89,0,0
10/29/89,0,0
10/30/89,0,0
10/31/89,0,0
11/1/89,0,0
11/2/89,0,0
11/3/89,0,0
11/4/89,0,0
11/5/89,0,0
11/6/89,0,0
11/7/89,0,0
11/8/89,0,0
11/9/89,0,0
11/10/89,0,0
11/11/89,0,0
11/12/89,0,0
11/13/89,0,0
11/14/89,0,0
11/15/89,0,0
11/16/89,0,0
11/17/89,0,0
11/18/89,0,0
11/19/89,0,0
11/20/89,0,0
11/21/89,0,0
11/22/89,0,0
11/23/89,0,0
11/24/89,0.14,3.556
11/25/89,0.16,4.064
11/26/89,0.81,20.574
11/27/89,0,0
11/28/89,0,0
11/29/89,0,0
11/30/89,0,0
12/1/89,0,0
12/2/89,0,0
12/3/89,0,0
12/4/89,0,0
12/5/89,0.02,0.508
12/6/89,0.01,0.254
12/7/89,0,0
12/8/89,0,0
12/9/89,0,0
12/10/89,0,0
12/11/89,0,0
12/12/89,0,0
12/13/89,0,0
12/14/89,0,0
12/15/89,0,0
12/16/89,0,0
12/17/89,0,0
12/18/89,0,0
12/19/89,0,0
12/20/89,0,0
12/21/89,0,0
12/22/89,0,0
12/23/89,0,0
12/24/89,0,0
12/25/89,0,0
12/26/89,0,0
12/27/89,0,0
12/28/89,0,0
12/29/89,0,0
12/30/89,0,0
12/31/89,0,0
1/1/90,0.02,0.508
1/2/90,0.16,4.064
1/3/90,0,0
1/4/90,0,0
1/5/90,0,0
1/6/90,0,0
1/7/90,1.42,36.068
1/8/90,2,50.8
1/9/90,0.61,15.494
1/10/90,0.05,1.27
1/11/90,0,0
1/12/90,0,0
1/13/90,2.52,64.008
1/14/90,0.48,12.192
1/15/90,0,0
1/16/90,0.09,2.286
1/17/90,0,0
1/18/90,0,0
1/19/90,0,0
1/20/90,0,0
1/21/90,0,0
1/22/90,0,0
1/23/90,0,0
1/24/90,0,0
1/25/90,0,0
1/26/90,0.01,0.254
1/27/90,0,0
1/28/90,0,0
1/29/90,0,0
1/30/90,0.6,15.24
1/31/90,0.17,4.318
2/1/90,0.44,11.176
2/2/90,0.11,2.794
2/3/90,0,0
2/4/90,1.05,26.67
2/5/90,0,0
2/6/90,0.17,4.318
2/7/90,0,0
2/8/90,0.01,0.254
