STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,in,mm,precip_mm_d
MRP,D,2,RAIN,10/1/14,20141001,0,0,0
MRP,D,2,RAIN,10/2/14,20141002,0,0,0
MRP,D,2,RAIN,10/3/14,20141003,0,0,0
MRP,D,2,RAIN,10/4/14,20141004,0,0,0
MRP,D,2,RAIN,10/5/14,20141005,0,0,0
MRP,D,2,RAIN,10/6/14,20141006,0,0,0
MRP,D,2,RAIN,10/7/14,20141007,0,0,0
MRP,D,2,RAIN,10/8/14,20141008,0,0,0
MRP,D,2,RAIN,10/9/14,20141009,0,0,0
MRP,D,2,RAIN,10/10/14,20141010,0,0,0
MRP,D,2,RAIN,10/11/14,20141011,0,0,0
MRP,D,2,RAIN,10/12/14,20141012,0,0,0
MRP,D,2,RAIN,10/13/14,20141013,0,0,0
MRP,D,2,RAIN,10/14/14,20141014,0,0,0
MRP,D,2,RAIN,10/15/14,20141015,0,0,0
MRP,D,2,RAIN,10/16/14,20141016,0,0,0
MRP,D,2,RAIN,10/17/14,20141017,0,0,0
MRP,D,2,RAIN,10/18/14,20141018,0,0,0
MRP,D,2,RAIN,10/19/14,20141019,0,0,0
MRP,D,2,RAIN,10/20/14,20141020,0,0,0
MRP,D,2,RAIN,10/21/14,20141021,0,0,0
MRP,D,2,RAIN,10/22/14,20141022,0,0,0
MRP,D,2,RAIN,10/23/14,20141023,0,0,0
MRP,D,2,RAIN,10/24/14,20141024,0,0,0
MRP,D,2,RAIN,10/25/14,20141025,0.15,3.81,3.81
MRP,D,2,RAIN,10/26/14,20141026,0.15,3.81,0
MRP,D,2,RAIN,10/27/14,20141027,0.15,3.81,0
MRP,D,2,RAIN,10/28/14,20141028,0.15,3.81,0
MRP,D,2,RAIN,10/29/14,20141029,0.15,3.81,0
MRP,D,2,RAIN,10/30/14,20141030,0.15,3.81,0
MRP,D,2,RAIN,10/31/14,20141031,0.52,13.208,9.398
MRP,D,2,RAIN,11/1/14,20141101,1.17,29.718,16.51
MRP,D,2,RAIN,11/2/14,20141102,1.18,29.972,0.254
MRP,D,2,RAIN,11/3/14,20141103,1.18,29.972,0
MRP,D,2,RAIN,11/4/14,20141104,1.19,30.226,0.254
MRP,D,2,RAIN,11/5/14,20141105,1.19,30.226,0
MRP,D,2,RAIN,11/6/14,20141106,1.19,30.226,0
MRP,D,2,RAIN,11/7/14,20141107,1.19,30.226,0
MRP,D,2,RAIN,11/8/14,20141108,1.19,30.226,0
