Source Name,Source Date,Authors,LLNL ID,Database ID,Source Sample Name,Sample Type,WatershedName,Sample Date,Latitude,Longitude,SiteCoordID,Spring Flow (CFS),Elevation of sample (m),Oxygen-18 per mil,Oxygen-18 Std,Hydrogen-2 per mil,Hydrogen-2 Std,Tritium (pCi/L),Tritium (pCi/L) Var,Radon (pCi/L),Radon SD (pCi/L),Sulfur-35 Activity (mBq/L),"Sulfur-35 Activity (mBq/L), 95% Cl",Sulfur-35 Activity MDA (mBq/L),Carbon-13 ,Carbon 13 std,Carbon-14 (pmc),Carbon-14 std,Calc Conc (PPM) TIC,Calc Conc (PPM) TOC,Dissolved inorganic carbon (ppm),DOC (mg/L),pH,Alkalinity,Electrical Conductivity (uS/cm),Temperature (C),Dissolved Oxygen (mg/L),ORP (mv),Turbidity (NTU),He-3/He-4 (x10-7),He-3/He-4 Var,He-4 (×10−8 cm3STP/g),He-4 Var,Ne (×10−8 cm3STP/g),Ne Var,Ar (×10−5 cm3STP/g),Ar Var,Kr (×10−8 cm3STP/g),Kr Var,Xe (×10−9 cm3STP/g),Var,Pχ2 (%),Recharge Temp (◦ C),"4HeTER (""×10−9
 cm3STP/g)",Rna/Ra,F(mg/L),Cl (mg/L),NO2 (mg/L),Br (mg/L),NO3 (mg/L),PO4(mg/L),SO4 (mg/L),Lithium (mg/L),Sodium (mg/L),Ammonium (mg/L),Potassium (mg/L),Calcium (mg/L),Magnesium (mg/L),TN (mg/L),NH4-N (mg/L),TP (mg/L),SRP (mg/L),Si (mg/L),B (mg/L),Model Age (Years),Estimated Recharge Elevation (m)
"Tracers Reveal Groundwater Elevations, Groundwater Flow Paths, and Travel Times on Mt. Shasta, CA",01/23/2018,"Peters et al., 2018",111439,Mt Shasta City Park Main,Big Springs Main,Domestic,Sacramento,04/28/2015,41.3287,-122.3265,413287n1223265,,1085,-14.4,,-105.7,,3.03,0.29,,,0.68,0.39,0.45,-10.98,0.04,,,8.61,0.03,,,6.5,,166,7.3,12.3,−55.2,,,,,,,,,,,,,,,,,,0.161,1.208,,,0.358,0.579,0.654,0.007,8.1785,,1.579,13.575,1.072,,,,,,,19.4,2767
"Tracers Reveal Groundwater Elevations, Groundwater Flow Paths, and Travel Times on Mt. Shasta, CA",01/23/2018,"Peters et al., 2018",111440,Mt Shasta City Park Main B,Big Springs B,Spring,Sacramento,04/28/2015,41.3287,-122.3265,413287n1223265,,1085,-14.4,,-106.1,,1.05,0.22,,,,,,,,,,,,,,,,218,10.6,11.7,−27.2,,,,,,,,,,,,,,,,,,0.106,18.431,,0.551,0.726,1.62,1.136,0.026,26.1465,,1.799,35.461,1.372,,,,,,,38.3,2761
"Tracers Reveal Groundwater Elevations, Groundwater Flow Paths, and Travel Times on Mt. Shasta, CA",01/23/2018,"Peters et al., 2018",111441,Mt Shasta City Park Main C,Big Springs C,Spring,Sacramento,04/28/2015,41.3287,-122.3265,413287n1223265,,1085,-14.3,,-104.5,,1.22,0.22,,,0.47,0.63,0.76,,,,,,,,,,,146,9.6,11.4,−23.2,,,,,,,,,,,,,,,,,,0.095,4.808,,,0.822,1.609,0.999,0.015,13.678,,1.535,22.7355,1.4675,,,,,,,35.6,2713
"Tracers Reveal Groundwater Elevations, Groundwater Flow Paths, and Travel Times on Mt. Shasta, CA",01/23/2018,"Peters et al., 2018",111442,Mt Shasta City Park Main D,Big Springs D,Spring,Sacramento,04/28/2015,41.3287,-122.3265,413287n1223265,,1085,-14.2,,-104.9,,0.17,0.75,,,,,,,,,,,,,,,,146,9.4,11,−1.7,,,,,,,,,,,,,,,,,,0.094,3.994,,,0.818,1.613,1.06,0.0135,12.8895,,1.5155,21.4455,1.4425,,,,,,,>50,2669
"Tracers Reveal Groundwater Elevations, Groundwater Flow Paths, and Travel Times on Mt. Shasta, CA",01/23/2018,"Peters et al., 2018",111719,Mt Shasta City Park 2,Big Springs 2,Spring,Sacramento,09/08/2015,41.3287,-122.3265,413287n1223265,,1094,-14.6,,-104.8,,1.33,0.13,,,,,,-10.98,0.09,,,13.53,0.21,,,,,142.5,10.1,4.1,,,,,5.83,0.29,22.89,1.14,37.96,0.76,8.9,0.18,13.52,0.27,96%,2,3.7,,0.144,3.825,,,0.571,0.6765,0.676,,,,,,,,,,,,,34,2870
"Tracers Reveal Groundwater Elevations, Groundwater Flow Paths, and Travel Times on Mt. Shasta, CA",01/23/2018,"Peters et al., 2018",111720,Mt Shasta City Park Main 3,Big Springs 3,Spring,Sacramento,09/08/2015,41.3290,-122.3281,413290n1223281,,1094,-14.5,,-107.0,,1.25,0.12,,,,,,-11.77,0,53.3,,14.69,0.27,,,,,131.4,9.4,9,,,,,6.39,0.32,23.48,1.17,38.74,0.77,8.99,0.18,13.89,0.28,83%,0.5,7.8,,0.132,7.016,,,0.321,0.542,0.741,,,,,,,,,,,,,35.2,2841
"Tracers Reveal Groundwater Elevations, Groundwater Flow Paths, and Travel Times on Mt. Shasta, CA",01/23/2018,"Peters et al., 2018",,Mt Shasta City Park Pool,Big Springs Pool,Spring,Sacramento,09/08/2015,41.3287,-122.3264,413287n1223264,,1123,-14.7,,-104.6,,3.32,0.19,,,,,,,,,,,,,,,,88,7.2,10.3,,,,,5,0.25,22.66,1.13,38.36,0.77,9.08,0.18,13.79,0.28,96%,0.7,0,,,,,,,,,,,,,,,,,,,,,17.8,2809
"Tracers Reveal Groundwater Elevations, Groundwater Flow Paths, and Travel Times on Mt. Shasta, CA",01/23/2018,"Peters et al., 2018",111714,McGinnis Spring,McGinnis Spring,Spring,Sacramento,09/17/2015,41.3328,-122.2159,413328n1222159,,1878,-13.8,,-92.1,,8.57,0.63,,,0.48,0.53,0.63,-15.66,0.09,,,6.86,0.19,,,6.95,,56.07,5.2,9.6,9.3,,,,,,,,,,,,,,,,,,0.043,0.352,,,,,0.171,,,,,,,,,,,,,1,2463
"Tracers Reveal Groundwater Elevations, Groundwater Flow Paths, and Travel Times on Mt. Shasta, CA",01/23/2018,"Peters et al., 2018",111722,Panther Spring,Panther Spring,Spring,McCloud,09/18/2015,41.3589,-122.1976,413589n1221976,,2346,-13.7,,-99.7,,9.74,0.4,,,0.58,0.60,0.71,-14.37,0.23,98.9,,0.9,0.0,,,,,15.39,6.0,9.5,,,,,4.21,0.21,20.97,1.05,35.97,0.72,8.62,0.17,13.19,0.26,75%,2.9,0,,0.032,0.252,,,0.291,,0.206,,,,,,,,,,,,,-1.30,2421
"Tracers Reveal Groundwater Elevations, Groundwater Flow Paths, and Travel Times on Mt. Shasta, CA",01/23/2018,"Peters et al., 2018",111723,Horse Camp Spring 1,Horse Camp Spring 1,Spring,Sacramento,09/18/2015,41.3752,-122.2239,413752n1222239,,2509,-14.5,,-105.5,,8.78,0.37,,,0.27,0.58,0.71,-6.73,0.01,98.8,,0.77,0.01,,,,,13.51,5.3,11.6,,,,,4.22,0.21,20.65,1.03,34.7,0.69,8.21,0.16,12.25,0.24,58%,6.7,0,,0.032,0.16,,,0.298,,0.2,,,,,,,,,,,,,0.5,2777
