Date,WY,P,Q,ET
1/13/16 0:00,2015,11.03,1.628571429,0.27
1/14/16 0:00,2015,9.61,1.514285714,1.61
1/15/16 0:00,2015,17.79,2.095238095,0
1/16/16 0:00,2015,50.51,3.552380952,0
1/17/16 0:00,2015,25.26,5.20952381,0.54
1/18/16 0:00,2015,59.4,8.523809524,0.27
1/19/16 0:00,2015,0.01,8.542857143,1.07
1/20/16 0:00,2015,0.01,3.276190476,1.34
1/21/16 0:00,2015,33.44,2.695238095,0.27
1/22/16 0:00,2015,9.97,4.304761905,1.07
1/23/16 0:00,2015,0.01,4.952380952,1.61
1/24/16 0:00,2015,0.01,3.457142857,1.07
1/25/16 0:00,2015,0.01,2.752380952,1.34
1/26/16 0:00,2015,0.01,2.60952381,2.15
1/27/16 0:00,2015,0.01,2.542857143,0.8
1/28/16 0:00,2015,46.24,2.266666667,0
1/29/16 0:00,2015,0.37,3.99047619,1.61
1/30/16 0:00,2015,0.01,4.161904762,2.15
1/31/16 0:00,2015,0.01,2.866666667,2.15
2/1/16 0:00,2015,3.21,2.476190476,1.34
2/2/16 0:00,2015,0.01,2.323809524,1.34
2/3/16 0:00,2015,0.01,2.266666667,1.88
2/4/16 0:00,2015,0.01,2.161904762,2.41
2/5/16 0:00,2015,0.01,2.038095238,2.15
2/6/16 0:00,2015,0.01,1.933333333,2.68
2/7/16 0:00,2015,0.01,1.847619048,3.22
2/8/16 0:00,2015,0.01,1.780952381,2.95
2/9/16 0:00,2015,0.01,1.733333333,2.68
2/10/16 0:00,2015,0.01,1.685714286,2.15
2/11/16 0:00,2015,0.01,1.285714286,2.15
2/12/16 0:00,2015,0.01,1.028571429,2.41
2/13/16 0:00,2015,0.01,0.980952381,2.68
2/14/16 0:00,2015,0.01,0.961904762,3.22
2/15/16 0:00,2015,0.01,0.961904762,3.49
2/16/16 0:00,2015,22.41,0.952380952,2.41
2/17/16 0:00,2015,12.1,1.038095238,2.15
2/18/16 0:00,2015,6.77,1.180952381,0.8
